车辆编号,转向,跟踪框图上面积（平方像素）,是否为小车,通过交叉口时间（s）,车辆均速（m/s）
0,WW,3192,0,2.76,8.91882
2,EW,2769,0,2.72,9.93168
3,noneE,1247,1,2.24,8.48737
4,noneE,1161,1,1.28,7.47535
7,noneE,875,1,4.04,6.81988
8,EN,989,1,0.52,5.49077
9,EE,999,1,2.84,8.35205
10,EE,1066,1,2.04,6.74822
13,EW,672,1,2.76,9.27575
14,SS,1591,1,3.12,4.78508
15,noneW,1242,1,1.68,13.7956
16,EN,2028,0,0.12,6.55562
17,EN,900,1,0.48,6.41889
18,SS,783,1,1.56,4.00098
19,WE,1440,1,2.24,11.9731
20,EE,736,1,3,7.35841
21,EW,770,1,2.52,10.7896
22,Enone,704,1,0.12,8.09374
24,EN,874,1,0.44,7.38204
25,WW,1550,1,1.4,15.3271
28,WE,1316,1,1.92,14.2382
29,WS,1519,1,0,6.89582
30,WE,1440,1,3.16,8.75133
31,WW,1333,1,2.28,6.23593
33,WS,1350,1,1.96,6.4555
34,Wnone,651,1,2.2,5.40621
35,WN,558,1,3.08,5.44841
36,WN,620,1,3.56,5.66044
39,NN,600,1,3.44,3.56273
41,NN,868,1,1.68,3.65747
42,WW,1457,1,3.08,4.92955
43,NS,1650,1,3.48,6.62423
44,SN,736,1,3.64,6.03817
45,NN,1472,1,1.76,4.04625
46,Snone,528,1,1.2,4.9739
47,NS,1710,1,3.28,5.94812
48,NS,1148,1,3.64,6.47663
49,WW,770,1,3.28,4.27175
51,SS,1073,1,1.24,3.59886
52,SN,600,1,3.12,7.49978
53,NS,2201,0,3.48,7.30883
54,NS,684,1,3.12,7.18442
55,SN,2150,0,3.04,6.95399
57,SN,1034,1,2.8,7.52651
58,NS,750,1,3.24,7.2409
59,SN,1188,1,3,6.97834
65,SN,667,1,2.64,8.07215
67,NS,1221,1,2.88,7.76422
68,NN,1026,1,1.6,8.01082
70,SN,525,1,3.76,6.2877
71,NS,841,1,3.2,8.00583
72,noneS,832,1,1.08,8.90534
73,NS,1023,1,2.84,8.58532
74,Snone,806,1,0.04,7.72159
76,noneS,651,1,1,8.59178
79,noneS,1482,1,2.08,8.40972
80,noneN,1800,1,2.2,8.11982
81,SN,713,1,3.16,7.46128
84,NS,899,1,3.12,8.38716
87,SE,1155,1,0.84,5.16585
89,SS,756,1,2.76,6.83577
90,Nnone,1218,1,0.32,5.76483
92,noneN,1020,1,0.92,7.09821
96,SN,812,1,2.92,7.91958
101,noneN,1344,1,1.76,7.8958
102,SN,1054,1,2.76,8.70027
104,noneE,621,1,0.64,5.41686
105,noneN,1218,1,0.64,8.16518
106,EE,520,1,3.32,7.1341
112,WW,682,1,4.72,4.23967
116,SW,525,1,3.8,7.06942
117,EN,874,1,1.08,5.44772
118,SW,841,1,3.96,6.31034
119,SS,1350,1,3.64,4.37014
120,NE,1122,1,2.4,5.51325
121,NE,500,1,3.24,5.07716
122,EE,740,1,1.24,6.65566
124,SS,1365,1,2.36,3.59499
125,noneW,624,1,3.6,8.09457
126,noneW,464,1,0.92,5.86034
127,Snone,624,1,3.56,5.77822
128,NE,567,1,3.28,6.6719
129,SE,1428,1,0.92,5.56121
130,SW,1368,1,3.16,8.09888
132,WW,972,1,3.88,9.66671
135,EE,528,1,3.8,5.78472
136,EE,792,1,3.68,3.67918
138,WE,770,1,3.52,6.58086
139,WE,551,1,4.16,6.30236
140,NN,3431,0,2.92,4.58258
141,EW,616,1,4.28,5.73386
142,NN,644,1,1.52,5.03869
143,SS,1050,1,2.72,4.94648
144,WW,510,1,3.12,10.1362
145,NN,494,1,2.76,3.51527
146,Enone,840,1,1.12,7.94601
147,noneE,825,1,0.16,8.33253
